"Room","Building","Weekday","Availability","Effective Start Date","Effective End Date","Status","Capacity","Type","Features","Online Room","Hide in Scheduling","Notes"
"HUDH120","","Sunday","8:00AM-10:00PM","","","Active","10","other","Carpet, Furniture - Cabinets, Furniture - Seating (office chair), Furniture - Table (Shared Long Tables), Receptacles/Power Outlets, Shades/Blinds (basic), Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Telephone (conference)","false","true",""
"HUDH120","","Monday","8:00AM-10:00PM","","","Active","10","other","Carpet, Furniture - Cabinets, Furniture - Seating (office chair), Furniture - Table (Shared Long Tables), Receptacles/Power Outlets, Shades/Blinds (basic), Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Telephone (conference)","false","true",""
"HUDH120","","Tuesday","8:00AM-10:00PM","","","Active","10","other","Carpet, Furniture - Cabinets, Furniture - Seating (office chair), Furniture - Table (Shared Long Tables), Receptacles/Power Outlets, Shades/Blinds (basic), Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Telephone (conference)","false","true",""
"HUDH120","","Wednesday","8:00AM-10:00PM","","","Active","10","other","Carpet, Furniture - Cabinets, Furniture - Seating (office chair), Furniture - Table (Shared Long Tables), Receptacles/Power Outlets, Shades/Blinds (basic), Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Telephone (conference)","false","true",""
"HUDH120","","Thursday","8:00AM-10:00PM","","","Active","10","other","Carpet, Furniture - Cabinets, Furniture - Seating (office chair), Furniture - Table (Shared Long Tables), Receptacles/Power Outlets, Shades/Blinds (basic), Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Telephone (conference)","false","true",""
"HUDH120","","Friday","8:00AM-10:00PM","","","Active","10","other","Carpet, Furniture - Cabinets, Furniture - Seating (office chair), Furniture - Table (Shared Long Tables), Receptacles/Power Outlets, Shades/Blinds (basic), Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Telephone (conference)","false","true",""
"HUDH120","","Saturday","8:00AM-10:00PM","","","Active","10","other","Carpet, Furniture - Cabinets, Furniture - Seating (office chair), Furniture - Table (Shared Long Tables), Receptacles/Power Outlets, Shades/Blinds (basic), Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers, Telephone (conference)","false","true",""
"MOLLER HOUSE_CNR ALUMNI CENTER","","Sunday","8:00AM-10:00PM","","","Active","4","other","","false","true",""
"MOLLER HOUSE_CNR ALUMNI CENTER","","Monday","8:00AM-10:00PM","","","Active","4","other","","false","true",""
"MOLLER HOUSE_CNR ALUMNI CENTER","","Tuesday","8:00AM-10:00PM","","","Active","4","other","","false","true",""
"MOLLER HOUSE_CNR ALUMNI CENTER","","Wednesday","8:00AM-10:00PM","","","Active","4","other","","false","true",""
"MOLLER HOUSE_CNR ALUMNI CENTER","","Thursday","8:00AM-10:00PM","","","Active","4","other","","false","true",""
"MOLLER HOUSE_CNR ALUMNI CENTER","","Friday","8:00AM-10:00PM","","","Active","4","other","","false","true",""
"MOLLER HOUSE_CNR ALUMNI CENTER","","Saturday","8:00AM-10:00PM","","","Active","4","other","","false","true",""
"MOLLER HOUSE_CONFERENCE ROOM","","Sunday","8:00AM-10:00PM","","","Active","12","other","","false","true",""
"MOLLER HOUSE_CONFERENCE ROOM","","Monday","8:00AM-10:00PM","","","Active","12","other","","false","true",""
"MOLLER HOUSE_CONFERENCE ROOM","","Tuesday","8:00AM-10:00PM","","","Active","12","other","","false","true",""
"MOLLER HOUSE_CONFERENCE ROOM","","Wednesday","8:00AM-10:00PM","","","Active","12","other","","false","true",""
"MOLLER HOUSE_CONFERENCE ROOM","","Thursday","8:00AM-10:00PM","","","Active","12","other","","false","true",""
"MOLLER HOUSE_CONFERENCE ROOM","","Friday","8:00AM-10:00PM","","","Active","12","other","","false","true",""
"MOLLER HOUSE_CONFERENCE ROOM","","Saturday","8:00AM-10:00PM","","","Active","12","other","","false","true",""
"MOLLER HOUSE_MERCY ALUMNI CENTER","","Sunday","8:00AM-10:00PM","","","Active","8","other","","false","true",""
"MOLLER HOUSE_MERCY ALUMNI CENTER","","Monday","8:00AM-10:00PM","","","Active","8","other","","false","true",""
"MOLLER HOUSE_MERCY ALUMNI CENTER","","Tuesday","8:00AM-10:00PM","","","Active","8","other","","false","true",""
"MOLLER HOUSE_MERCY ALUMNI CENTER","","Wednesday","8:00AM-10:00PM","","","Active","8","other","","false","true",""
"MOLLER HOUSE_MERCY ALUMNI CENTER","","Thursday","8:00AM-10:00PM","","","Active","8","other","","false","true",""
"MOLLER HOUSE_MERCY ALUMNI CENTER","","Friday","8:00AM-10:00PM","","","Active","8","other","","false","true",""
"MOLLER HOUSE_MERCY ALUMNI CENTER","","Saturday","8:00AM-10:00PM","","","Active","8","other","","false","true",""
"BX1250","BRONX","Sunday","8:00AM-10:00PM","","","Active","7","classroom","No Windows, Receptacles/Power Outlets, Technology - AV technology Space, Technology - Level 2, Technology - Projector (Interactive - pen only), Technology - Speakers, Whiteboard","false","true",""
"BX1250","BRONX","Monday","8:00AM-10:00PM","","","Active","7","classroom","No Windows, Receptacles/Power Outlets, Technology - AV technology Space, Technology - Level 2, Technology - Projector (Interactive - pen only), Technology - Speakers, Whiteboard","false","true",""
"BX1250","BRONX","Tuesday","8:00AM-10:00PM","","","Active","7","classroom","No Windows, Receptacles/Power Outlets, Technology - AV technology Space, Technology - Level 2, Technology - Projector (Interactive - pen only), Technology - Speakers, Whiteboard","false","true",""
"BX1250","BRONX","Wednesday","8:00AM-10:00PM","","","Active","7","classroom","No Windows, Receptacles/Power Outlets, Technology - AV technology Space, Technology - Level 2, Technology - Projector (Interactive - pen only), Technology - Speakers, Whiteboard","false","true",""
"BX1250","BRONX","Thursday","8:00AM-10:00PM","","","Active","7","classroom","No Windows, Receptacles/Power Outlets, Technology - AV technology Space, Technology - Level 2, Technology - Projector (Interactive - pen only), Technology - Speakers, Whiteboard","false","true",""
"BX1250","BRONX","Friday","8:00AM-10:00PM","","","Active","7","classroom","No Windows, Receptacles/Power Outlets, Technology - AV technology Space, Technology - Level 2, Technology - Projector (Interactive - pen only), Technology - Speakers, Whiteboard","false","true",""
"BX1250","BRONX","Saturday","8:00AM-10:00PM","","","Active","7","classroom","No Windows, Receptacles/Power Outlets, Technology - AV technology Space, Technology - Level 2, Technology - Projector (Interactive - pen only), Technology - Speakers, Whiteboard","false","true",""
"BX1260","BRONX","Sunday","8:00AM-8:30AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Sunday","10:30AM-10:50AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Sunday","12:50PM-2:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Sunday","4:50PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Monday","8:00AM-10:30AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Monday","12:30PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Tuesday","8:00AM-8:30AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Tuesday","10:30AM-11:00AM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
"BX1260","BRONX","Tuesday","1:00PM-10:00PM","","","Active","53","classroom","Bronx Classroom, Furniture - Instructor's Podium, Furniture - Instructor's Table, Furniture - Seating (basic chair), Furniture - Table (Shared Long Tables), Furniture - Whiteboard, Receptacles/Power Outlets, Room Divider, Technology - AV technology Space, Technology - Level 2, Technology - Mircrophones & Speech Reinforcement, Technology - Projector (basic), Technology - Projector Screen, Technology - Speakers","false","false",""
